route_short_name,route_type_name,rail_type,segment_id,avg_travel_time,trip_count,from_stop,to_stop,avg_time_readable,mode,minutes,route,delay,time_category
M41,Bus,Non-Rail,Peter-Anders-Str. (Berlin) → Sonnenallee/Baumschulenstr. (Berlin),0 days 00:00:50.358565737,1506,Peter-Anders-Str. (Berlin),Sonnenallee/Baumschulenstr. (Berlin),0 Min 50 Sec,Bus,0.8393094289499999,Peter-Anders-Str. (Berlin) → Sonnenallee/Baumschulenstr. (Berlin),0.083930942895,Short
M41,Bus,Non-Rail,Geygerstr. (Berlin) → Hertzbergplatz (Berlin),0 days 00:01:34.302788844,1506,Geygerstr. (Berlin),Hertzbergplatz (Berlin),1 Min 34 Sec,Bus,1.5717131474000001,Geygerstr. (Berlin) → Hertzbergplatz (Berlin),0.15717131474,Short
M41,Bus,Non-Rail,"Tempelherrenstr. (Berlin) → Berlin, Blücherstr.",0 days 00:00:49.812949640,1390,Tempelherrenstr. (Berlin),"Berlin, Blücherstr.",0 Min 49 Sec,Bus,0.8302158273333333,"Tempelherrenstr. (Berlin) → Berlin, Blücherstr.",0.08302158273333334,Short
M41,Bus,Non-Rail,"Berlin, Blücherstr. → Zossener Brücke (Berlin)",0 days 00:01:48.669064748,1390,"Berlin, Blücherstr.",Zossener Brücke (Berlin),1 Min 48 Sec,Bus,1.8111510791333332,"Berlin, Blücherstr. → Zossener Brücke (Berlin)",0.18111510791333332,Short
M41,Bus,Non-Rail,Klinikum Am Urban (Berlin) → Urbanstr./Baerwaldstr. (Berlin),0 days 00:01:00,1390,Klinikum Am Urban (Berlin),Urbanstr./Baerwaldstr. (Berlin),1 Min 0 Sec,Bus,1.0,Klinikum Am Urban (Berlin) → Urbanstr./Baerwaldstr. (Berlin),0.1,Short
M41,Bus,Non-Rail,Urbanstr./Baerwaldstr. (Berlin) → Tempelherrenstr. (Berlin),0 days 00:00:51.561151079,1390,Urbanstr./Baerwaldstr. (Berlin),Tempelherrenstr. (Berlin),0 Min 51 Sec,Bus,0.8593525179833333,Urbanstr./Baerwaldstr. (Berlin) → Tempelherrenstr. (Berlin),0.08593525179833333,Short
M41,Bus,Non-Rail,Zossener Brücke (Berlin) → U Hallesches Tor (Berlin),0 days 00:01:01.208633093,1390,Zossener Brücke (Berlin),U Hallesches Tor (Berlin),1 Min 1 Sec,Bus,1.0201438848833333,Zossener Brücke (Berlin) → U Hallesches Tor (Berlin),0.10201438848833333,Short
U6,Bus,Non-Rail,U Holzhauser Str. (Berlin) → U Otisstraße (Berlin),0 days 00:02:00,1388,U Holzhauser Str. (Berlin),U Otisstraße (Berlin),2 Min 0 Sec,Bus,2.0,U Holzhauser Str. (Berlin) → U Otisstraße (Berlin),0.2,Short
U6,Bus,Non-Rail,U Borsigwerke (Berlin) → U Holzhauser Str. (Berlin),0 days 00:02:43.746397694,1388,U Borsigwerke (Berlin),U Holzhauser Str. (Berlin),2 Min 43 Sec,Bus,2.729106628233333,U Borsigwerke (Berlin) → U Holzhauser Str. (Berlin),0.2729106628233333,Short
U6,Bus,Non-Rail,U Otisstraße (Berlin) → U Scharnweberstr. (Berlin),0 days 00:02:00,1388,U Otisstraße (Berlin),U Scharnweberstr. (Berlin),2 Min 0 Sec,Bus,2.0,U Otisstraße (Berlin) → U Scharnweberstr. (Berlin),0.2,Short
U6,Bus,Non-Rail,U Scharnweberstr. (Berlin) → U Kurt-Schumacher-Platz (Berlin),0 days 00:05:07.435158501,1388,U Scharnweberstr. (Berlin),U Kurt-Schumacher-Platz (Berlin),5 Min 7 Sec,Bus,5.12391930835,U Scharnweberstr. (Berlin) → U Kurt-Schumacher-Platz (Berlin),0.512391930835,Short
U6,Bus,Non-Rail,U Alt-Tegel (Berlin) → U Borsigwerke (Berlin),0 days 00:02:43.746397694,1388,U Alt-Tegel (Berlin),U Borsigwerke (Berlin),2 Min 43 Sec,Bus,2.729106628233333,U Alt-Tegel (Berlin) → U Borsigwerke (Berlin),0.2729106628233333,Short
M41,Bus,Non-Rail,Körtestr. (Berlin) → Graefestr. (Berlin),0 days 00:00:59.411320754,1325,Körtestr. (Berlin),Graefestr. (Berlin),0 Min 59 Sec,Bus,0.9901886792333333,Körtestr. (Berlin) → Graefestr. (Berlin),0.09901886792333334,Short
M41,Bus,Non-Rail,Urbanstr./Baerwaldstr. (Berlin) → Klinikum Am Urban (Berlin),0 days 00:00:49.381132075,1325,Urbanstr./Baerwaldstr. (Berlin),Klinikum Am Urban (Berlin),0 Min 49 Sec,Bus,0.8230188679166666,Urbanstr./Baerwaldstr. (Berlin) → Klinikum Am Urban (Berlin),0.08230188679166667,Short
M41,Bus,Non-Rail,Klinikum Am Urban (Berlin) → Körtestr. (Berlin),0 days 00:00:49.381132075,1325,Klinikum Am Urban (Berlin),Körtestr. (Berlin),0 Min 49 Sec,Bus,0.8230188679166666,Klinikum Am Urban (Berlin) → Körtestr. (Berlin),0.08230188679166667,Short
M41,Bus,Non-Rail,Graefestr. (Berlin) → Jahnstr. (Berlin),0 days 00:01:16.483018867,1325,Graefestr. (Berlin),Jahnstr. (Berlin),1 Min 16 Sec,Bus,1.2747169811166665,Graefestr. (Berlin) → Jahnstr. (Berlin),0.12747169811166667,Short
