route_short_name,prev_stop_name,stop_name,avg_travel_time,trip_count,avg_time_readable
EC 89,Rovereto,Trento,0 days 00:16:00,5,16 Min 0 Sec
EC 89,Rovereto,Verona Porta Nuova,0 days 00:42:00,8,42 Min 0 Sec
EC 89,Trento,Bolzano/Bozen,0 days 00:34:00,5,34 Min 0 Sec
EC 89,Trento,Rovereto,0 days 00:15:00,8,15 Min 0 Sec
EC 89,Venezia Mestre,Padova,0 days 00:16:00,4,16 Min 0 Sec
EC 89,Venezia Mestre,Venezia Santa Lucia,0 days 00:12:00,6,12 Min 0 Sec
EC 89,Venezia Santa Lucia,Venezia Mestre,0 days 00:10:00,4,10 Min 0 Sec
EC 89,Verona Porta Nuova,Rovereto,0 days 00:47:12,5,47 Min 12 Sec
EC 89,Verona Porta Nuova,Vicenza,0 days 00:41:30,6,41 Min 30 Sec
EC 89,Vicenza,Padova,0 days 00:31:30,6,31 Min 30 Sec
EC 89,Vicenza,Verona Porta Nuova,0 days 00:30:00,4,30 Min 0 Sec
EC 89,Wörgl Hbf,Innsbruck Hbf,0 days 00:34:00,2,34 Min 0 Sec
EC 89,Wörgl Hbf,Jenbach,0 days 00:14:00,6,14 Min 0 Sec
EC 89,Wörgl Hbf,Kufstein,0 days 00:10:00,5,10 Min 0 Sec
EC 95,Berlin Gesundbrunnen,Frankfurt(Oder),0 days 01:05:00,1,65 Min 0 Sec
EC 95,Berlin Hbf,Berlin Ostbahnhof,0 days 00:07:46.153846153,13,7 Min 46 Sec
EC 95,Berlin Hbf,Berlin Zoologischer Garten,0 days 00:08:15,4,8 Min 15 Sec
EC 95,Berlin Ostbahnhof,Berlin Hbf,0 days 00:09:53.684210526,19,9 Min 53 Sec
EC 95,Berlin Ostbahnhof,Berlin Ostkreuz,0 days 00:05:00,1,5 Min 0 Sec
EC 95,Berlin Ostbahnhof,Frankfurt(Oder),0 days 00:57:45,12,57 Min 45 Sec
EC 95,Berlin Ostkreuz,Berlin Ostbahnhof,0 days 00:06:00,2,6 Min 0 Sec
EC 95,Berlin Ostkreuz,Frankfurt(Oder),0 days 00:44:00,1,44 Min 0 Sec
EC 95,Berlin Zoologischer Garten,Berlin-Charlottenburg,0 days 00:05:00,4,5 Min 0 Sec
EC 95,Bochnia,Brzesko Okocim,0 days 00:08:00,4,8 Min 0 Sec
EC 95,Bochnia,Krakow Plaszow,0 days 00:18:00,2,18 Min 0 Sec
EC 95,Brzeg,Opole Glowne,0 days 00:22:45,4,22 Min 45 Sec
EC 95,Brzeg,Wroclaw Glowny,0 days 00:27:30,2,27 Min 30 Sec
EC 95,Brzesko Okocim,Bochnia,0 days 00:07:00,2,7 Min 0 Sec
EC 95,Brzesko Okocim,Tarnow,0 days 00:14:00,4,14 Min 0 Sec
EC 95,Bydgoszcz Glowna,Inowroclaw,0 days 00:29:00,2,29 Min 0 Sec
EC 95,Bydgoszcz Glowna,Tczew,0 days 01:10:00,2,70 Min 0 Sec
EC 95,Debica,Rzeszow Glowny,0 days 00:22:00,4,22 Min 0 Sec
EC 95,Debica,Tarnow,0 days 00:16:00,2,16 Min 0 Sec
EC 95,Frankfurt(Oder),Berlin Ostbahnhof,0 days 00:57:00,17,57 Min 0 Sec
EC 95,Frankfurt(Oder),Berlin Ostkreuz,0 days 00:48:30,2,48 Min 30 Sec
EC 95,Frankfurt(Oder),Frankfurt(Oder)(Gr),0 days 00:07:00,15,7 Min 0 Sec
EC 95,Frankfurt(Oder)(Gr),Frankfurt(Oder),0 days 00:03:00,24,3 Min 0 Sec
EC 95,Frankfurt(Oder)(Gr),Rzepin,0 days 00:16:31.304347826,23,16 Min 31 Sec
EC 95,Gdansk Glowny,Gdansk Wrzeszcz,0 days 00:06:30,2,6 Min 30 Sec
EC 95,Gdansk Glowny,Tczew,0 days 00:18:00,2,18 Min 0 Sec
EC 95,Gdansk Oliwa,Gdansk Wrzeszcz,0 days 00:04:00,2,4 Min 0 Sec
EC 95,Gdansk Oliwa,Sopot,0 days 00:04:30,2,4 Min 30 Sec
EC 95,Gdansk Wrzeszcz,Gdansk Glowny,0 days 00:05:00,2,5 Min 0 Sec
EC 95,Gdansk Wrzeszcz,Gdansk Oliwa,0 days 00:04:00,2,4 Min 0 Sec
EC 95,Gdynia Glowna,Sopot,0 days 00:07:00,2,7 Min 0 Sec
EC 95,Gliwice,Kedzierzyn Kozle,0 days 00:34:00,2,34 Min 0 Sec
EC 95,Gliwice,Zabrze,0 days 00:15:00,4,15 Min 0 Sec
EC 95,Gniezno,Inowroclaw,0 days 00:28:00,2,28 Min 0 Sec
EC 95,Gniezno,Poznan Glowny,0 days 00:27:00,2,27 Min 0 Sec
EC 95,Inowroclaw,Bydgoszcz Glowna,0 days 00:26:00,2,26 Min 0 Sec
EC 95,Inowroclaw,Gniezno,0 days 00:29:00,2,29 Min 0 Sec
EC 95,Jaroslaw,Przemysl Glowny,0 days 00:24:00,4,24 Min 0 Sec
EC 95,Jaroslaw,Przeworsk,0 days 00:10:00,2,10 Min 0 Sec
EC 95,Jaworzno Szczakowa,Katowice,0 days 00:26:00,2,26 Min 0 Sec
EC 95,Jaworzno Szczakowa,Trzebinia,0 days 00:11:00,4,11 Min 0 Sec
EC 95,Katowice,Jaworzno Szczakowa,0 days 00:25:00,4,25 Min 0 Sec
EC 95,Katowice,Zabrze,0 days 00:17:00,2,17 Min 0 Sec
EC 95,Kedzierzyn Kozle,Gliwice,0 days 00:32:00,4,32 Min 0 Sec
EC 95,Kedzierzyn Kozle,Opole Glowne,0 days 00:23:00,2,23 Min 0 Sec
EC 95,Konin,Kutno,0 days 00:36:00,9,36 Min 0 Sec
EC 95,Konin,Poznan Glowny,0 days 00:46:00,13,46 Min 0 Sec
EC 95,Koscian,Leszno,0 days 00:14:00,4,14 Min 0 Sec
EC 95,Koscian,Poznan Glowny,0 days 00:23:00,2,23 Min 0 Sec
EC 95,Krakow Glowny,Krakow Plaszow,0 days 00:09:00,4,9 Min 0 Sec
EC 95,Krakow Glowny,Krzeszowice,0 days 00:24:00,2,24 Min 0 Sec
EC 95,Krakow Plaszow,Bochnia,0 days 00:23:00,4,23 Min 0 Sec
EC 95,Krakow Plaszow,Krakow Glowny,0 days 00:13:00,2,13 Min 0 Sec
EC 95,Krzeszowice,Krakow Glowny,0 days 00:20:00,4,20 Min 0 Sec
EC 95,Krzeszowice,Trzebinia,0 days 00:10:00,2,10 Min 0 Sec
EC 95,Kutno,Konin,0 days 00:37:00,13,37 Min 0 Sec
EC 95,Kutno,Warszawa Zachodnia,0 days 00:58:00,9,58 Min 0 Sec
EC 95,Lancut,Przeworsk,0 days 00:14:00,4,14 Min 0 Sec
EC 95,Lancut,Rzeszow Glowny,0 days 00:12:00,2,12 Min 0 Sec
EC 95,Leszno,Koscian,0 days 00:14:00,2,14 Min 0 Sec
EC 95,Leszno,Rawicz,0 days 00:16:00,4,16 Min 0 Sec
EC 95,Nowy Tomysl,Opalenica,0 days 00:12:00,4,12 Min 0 Sec
EC 95,Nowy Tomysl,Zbaszyn,0 days 00:09:00,2,9 Min 0 Sec
EC 95,Oborniki Slaskie,Wroclaw Glowny,0 days 00:16:00,4,16 Min 0 Sec
EC 95,Oborniki Slaskie,Zmigrod,0 days 00:11:00,2,11 Min 0 Sec
EC 95,Opalenica,Nowy Tomysl,0 days 00:13:00,2,13 Min 0 Sec
EC 95,Opalenica,Poznan Glowny,0 days 00:24:00,4,24 Min 0 Sec
EC 95,Opole Glowne,Brzeg,0 days 00:24:00,2,24 Min 0 Sec
EC 95,Opole Glowne,Kedzierzyn Kozle,0 days 00:24:00,4,24 Min 0 Sec
EC 95,Poznan Glowny,Gniezno,0 days 00:28:00,2,28 Min 0 Sec
EC 95,Poznan Glowny,Konin,0 days 00:48:06.666666666,9,48 Min 6 Sec
EC 95,Poznan Glowny,Koscian,0 days 01:29:00,4,89 Min 0 Sec
EC 95,Poznan Glowny,Opalenica,0 days 01:20:00,2,80 Min 0 Sec
EC 95,Poznan Glowny,Zbaszynek,0 days 00:46:00,15,46 Min 0 Sec
EC 95,Przemysl Glowny,Jaroslaw,0 days 00:22:00,2,22 Min 0 Sec
EC 95,Przeworsk,Jaroslaw,0 days 00:10:00,4,10 Min 0 Sec
EC 95,Przeworsk,Lancut,0 days 00:14:00,2,14 Min 0 Sec
EC 95,Rawicz,Leszno,0 days 00:18:00,2,18 Min 0 Sec
EC 95,Rawicz,Zmigrod,0 days 00:10:00,4,10 Min 0 Sec
EC 95,Rzepin,Frankfurt(Oder)(Gr),0 days 00:16:00,28,16 Min 0 Sec
EC 95,Rzepin,Swiebodzin,0 days 00:24:00,15,24 Min 0 Sec
EC 95,Rzeszow Glowny,Debica,0 days 00:29:00,2,29 Min 0 Sec
EC 95,Rzeszow Glowny,Lancut,0 days 00:14:00,4,14 Min 0 Sec
EC 95,Sopot,Gdansk Oliwa,0 days 00:04:00,2,4 Min 0 Sec
EC 95,Sopot,Gdynia Glowna,0 days 00:10:00,2,10 Min 0 Sec
EC 95,Swiebodzin,Rzepin,0 days 00:23:52.941176470,17,23 Min 52 Sec
EC 95,Swiebodzin,Zbaszynek,0 days 00:12:44,15,12 Min 44 Sec
EC 95,Tarnow,Brzesko Okocim,0 days 00:16:00,2,16 Min 0 Sec
EC 95,Tarnow,Debica,0 days 00:17:00,4,17 Min 0 Sec
EC 95,Tczew,Bydgoszcz Glowna,0 days 01:09:00,2,69 Min 0 Sec
EC 95,Tczew,Gdansk Glowny,0 days 00:17:00,2,17 Min 0 Sec
EC 95,Trzebinia,Jaworzno Szczakowa,0 days 00:09:00,2,9 Min 0 Sec
EC 95,Trzebinia,Krzeszowice,0 days 00:09:00,4,9 Min 0 Sec
EC 95,Warszawa Centralna,Warszawa Wschodnia,0 days 00:15:26.666666666,9,15 Min 26 Sec
EC 95,Warszawa Centralna,Warszawa Zachodnia,0 days 00:08:00,13,8 Min 0 Sec
EC 95,Warszawa Wschodnia,Warszawa Centralna,0 days 00:06:00,13,6 Min 0 Sec
EC 95,Warszawa Zachodnia,Kutno,0 days 00:58:00,13,58 Min 0 Sec
EC 95,Warszawa Zachodnia,Warszawa Centralna,0 days 00:05:00,9,5 Min 0 Sec
EC 95,Wroclaw Glowny,Brzeg,0 days 00:38:15,4,38 Min 15 Sec
EC 95,Wroclaw Glowny,Oborniki Slaskie,0 days 00:19:30,2,19 Min 30 Sec
EC 95,Zabrze,Gliwice,0 days 00:07:00,2,7 Min 0 Sec
EC 95,Zabrze,Katowice,0 days 00:21:00,4,21 Min 0 Sec
EC 95,Zbaszyn,Nowy Tomysl,0 days 00:09:00,4,9 Min 0 Sec
EC 95,Zbaszyn,Zbaszynek,0 days 00:06:00,2,6 Min 0 Sec
EC 95,Zbaszynek,Poznan Glowny,0 days 00:42:54.545454545,11,42 Min 54 Sec
EC 95,Zbaszynek,Swiebodzin,0 days 00:13:07.058823529,17,13 Min 7 Sec
EC 95,Zbaszynek,Zbaszyn,0 days 00:07:00,4,7 Min 0 Sec
EC 95,Zmigrod,Oborniki Slaskie,0 days 00:11:00,4,11 Min 0 Sec
EC 95,Zmigrod,Rawicz,0 days 00:09:00,2,9 Min 0 Sec
EC 96,Berlin Hbf,Berlin Ostbahnhof,0 days 00:07:00,8,7 Min 0 Sec
EC 96,Berlin Ostbahnhof,Berlin Hbf,0 days 00:10:00,3,10 Min 0 Sec
EC 96,Berlin Ostbahnhof,Frankfurt(Oder),0 days 00:48:00,8,48 Min 0 Sec
EC 96,Bochnia,Krakow Plaszow,0 days 00:18:00,2,18 Min 0 Sec
EC 96,Bochnia,Tarnow,0 days 00:19:00,8,19 Min 0 Sec
EC 96,Debica,Rzeszow Glowny,0 days 00:22:00,8,22 Min 0 Sec
EC 96,Debica,Tarnow,0 days 00:16:00,2,16 Min 0 Sec
EC 96,Frankfurt(Oder),Berlin Ostbahnhof,0 days 00:52:00,3,52 Min 0 Sec
EC 96,Frankfurt(Oder),Frankfurt(Oder)(Gr),0 days 00:04:50.769230769,13,4 Min 50 Sec
EC 96,Frankfurt(Oder)(Gr),Frankfurt(Oder),0 days 00:03:00,6,3 Min 0 Sec
EC 96,Frankfurt(Oder)(Gr),Rzepin,0 days 00:16:00,13,16 Min 0 Sec
EC 96,Gliwice,Kedzierzyn Kozle,0 days 00:28:00,3,28 Min 0 Sec
EC 96,Gliwice,Zabrze,0 days 00:10:49.090909090,11,10 Min 49 Sec
EC 96,Glogow,Lubin,0 days 00:25:32.727272727,11,25 Min 32 Sec
EC 96,Glogow,Zielona Gora Glowna,0 days 00:33:20,3,33 Min 20 Sec
EC 96,Jaroslaw,Przemysl Zasanie,0 days 00:22:30,8,22 Min 30 Sec
EC 96,Jaroslaw,Przeworsk,0 days 00:10:00,2,10 Min 0 Sec
EC 96,Katowice,Krakow Glowny,0 days 00:55:16.363636363,11,55 Min 16 Sec
EC 96,Katowice,Zabrze,0 days 00:19:20,3,19 Min 20 Sec
EC 96,Kedzierzyn Kozle,Gliwice,0 days 00:30:16.363636363,11,30 Min 16 Sec
EC 96,Kedzierzyn Kozle,Opole Glowne,0 days 00:25:00,3,25 Min 0 Sec
EC 96,Krakow Glowny,Katowice,0 days 01:05:00,3,65 Min 0 Sec
EC 96,Krakow Glowny,Krakow Plaszow,0 days 00:15:00,8,15 Min 0 Sec
EC 96,Krakow Plaszow,Bochnia,0 days 00:16:30,8,16 Min 30 Sec
EC 96,Krakow Plaszow,Krakow Glowny,0 days 00:06:00,2,6 Min 0 Sec
EC 96,Lancut,Przeworsk,0 days 00:13:30,8,13 Min 30 Sec
EC 96,Lancut,Rzeszow Glowny,0 days 00:12:30,2,12 Min 30 Sec
EC 96,Legnica,Lubin,0 days 00:19:00,3,19 Min 0 Sec
EC 96,Legnica,Wroclaw Glowny,0 days 00:35:27.272727272,11,35 Min 27 Sec
EC 96,Lubin,Glogow,0 days 00:33:40,3,33 Min 40 Sec
EC 96,Lubin,Legnica,0 days 00:19:16.363636363,11,19 Min 16 Sec
EC 96,Opole Glowne,Kedzierzyn Kozle,0 days 00:23:00,11,23 Min 0 Sec
EC 96,Opole Glowne,Wroclaw Glowny,0 days 00:41:20,3,41 Min 20 Sec
EC 96,Przemysl Glowny,Przemysl Zasanie,0 days 00:03:00,1,3 Min 0 Sec
EC 96,Przemysl Zasanie,Jaroslaw,0 days 00:21:30,2,21 Min 30 Sec
EC 96,Przemysl Zasanie,Przemysl Glowny,0 days 00:04:00,8,4 Min 0 Sec
EC 96,Przeworsk,Jaroslaw,0 days 00:10:00,8,10 Min 0 Sec
EC 96,Przeworsk,Lancut,0 days 00:14:30,2,14 Min 30 Sec
EC 96,Rzepin,Frankfurt(Oder)(Gr),0 days 00:17:00,6,17 Min 0 Sec
EC 96,Rzepin,Zielona Gora Glowna,0 days 00:44:43.636363636,11,44 Min 43 Sec
EC 96,Rzeszow Glowny,Debica,0 days 00:24:30,2,24 Min 30 Sec
EC 96,Rzeszow Glowny,Lancut,0 days 00:14:30,8,14 Min 30 Sec
EC 96,Tarnow,Bochnia,0 days 00:23:00,2,23 Min 0 Sec
EC 96,Tarnow,Debica,0 days 00:16:30,8,16 Min 30 Sec
EC 96,Wroclaw Glowny,Legnica,0 days 00:38:20,3,38 Min 20 Sec
EC 96,Wroclaw Glowny,Opole Glowne,0 days 00:50:10.909090909,11,50 Min 10 Sec
EC 96,Zabrze,Gliwice,0 days 00:07:40,3,7 Min 40 Sec
EC 96,Zabrze,Katowice,0 days 00:18:05.454545454,11,18 Min 5 Sec
